,Sales_id,Category,Brand,MRP,Selling price,Discount in %
24102,0,Footwear,catwalk,1995.0,599.0,70.0
24103,1,Footwear,catwalk,3095.0,1547.0,50.0
24104,2,Footwear,inc.5,2690.0,1490.0,45.0
24105,3,Footwear,crocs,2638.2167045910855,4995.0,44.84758845312988
24106,4,Footwear,reebok,4999.0,2499.0,50.0
24107,5,Footwear,haute curry,2999.0,2399.0,20.0
24108,6,Footwear,estatos,999.0,699.0,30.0
24109,7,Footwear,tresmode,2499.0,1249.0,50.0
24110,8,Footwear,lemon & pepper,2999.0,2399.0,20.0
24111,9,Footwear,skechers,2638.2167045910855,3799.0,44.84758845312988
24112,10,Footwear,crocs,2638.2167045910855,4995.0,44.84758845312988
24113,11,Footwear,puma,2638.2167045910855,3499.0,44.84758845312988
24114,12,Footwear,catwalk,2695.0,1347.0,50.0
24115,13,Footwear,catwalk,2695.0,599.0,78.0
24116,14,Footwear,inc.5,1790.0,599.0,67.0
24117,15,Footwear,estatos,1699.0,849.0,50.0
24118,16,Footwear,reebok,4999.0,2499.0,50.0
24119,17,Footwear,catwalk,2095.0,1047.0,50.0
24120,18,Footwear,skechers,2638.2167045910855,5699.0,44.84758845312988
24121,19,Footwear,skechers,2638.2167045910855,2499.0,44.84758845312988
24122,20,Footwear,estatos,1599.0,959.0,40.0
24123,21,Footwear,catwalk,2295.0,1119.0,51.0
24124,22,Footwear,vastranand,2638.2167045910855,1925.3425560842963,44.84758845312988
24125,23,Footwear,catwalk,3195.0,1597.0,50.0
24126,24,Footwear,estatos,1799.0,899.0,50.0
24127,25,Footwear,catwalk,2695.0,1347.0,50.0
24128,0,Footwear,haute curry,2999.0,2399.0,20.0
24129,1,Footwear,puma,2638.2167045910855,3799.0,44.84758845312988
24130,2,Footwear,estatos,1999.0,1299.0,35.0
24131,3,Footwear,catwalk,2795.0,1397.0,50.0
24132,4,Footwear,puma,2638.2167045910855,5999.0,44.84758845312988
24133,5,Footwear,puma,2638.2167045910855,3499.0,44.84758845312988
24134,6,Footwear,estatos,1199.0,659.0,45.0
24135,7,Footwear,catwalk,3295.0,1647.0,50.0
24136,8,Footwear,crocs,2638.2167045910855,2495.0,44.84758845312988
24137,9,Footwear,adidas,2638.2167045910855,3599.0,44.84758845312988
24138,10,Footwear,catwalk,2395.0,1119.0,53.0
24139,11,Footwear,inc.5,2390.0,1490.0,38.0
24140,12,Footwear,haute curry,2638.2167045910855,2399.0,44.84758845312988
24141,13,Footwear,catwalk,2395.0,1119.0,53.0
24142,14,Footwear,lemon & pepper,2499.0,1749.0,30.0
24143,15,Footwear,skechers,2638.2167045910855,4999.0,44.84758845312988
24144,16,Footwear,catwalk,2895.0,1447.0,50.0
24145,17,Footwear,catwalk,2495.0,1247.0,50.0
24146,18,Footwear,catwalk,2195.0,1097.0,50.0
24147,19,Footwear,adidas,2638.2167045910855,3599.0,44.84758845312988
24148,20,Footwear,inc.5,1590.0,599.0,62.0
24149,21,Footwear,inc.5,1890.0,1190.0,37.0
24151,23,Footwear,shoetopia,999.0,699.0,30.0
24152,24,Footwear,haute curry,2799.0,1959.0,30.0
24153,25,Footwear,skechers,4999.0,2999.0,40.0
24154,0,Footwear,inc.5,2490.0,1490.0,40.0
24155,1,Footwear,shoetopia,999.0,599.0,40.0
24156,2,Footwear,skechers,3999.0,1999.0,50.0
24157,3,Footwear,lemon & pepper,3499.0,2449.0,30.0
24158,4,Footwear,skechers,2638.2167045910855,3299.0,44.84758845312988
24159,5,Footwear,catwalk,2895.0,1447.0,50.0
24160,6,Footwear,shoetopia,999.0,699.0,30.0
24161,7,Footwear,puma,2638.2167045910855,4999.0,44.84758845312988
24162,8,Footwear,skechers,5699.0,4274.0,25.0
24163,9,Footwear,shoetopia,999.0,799.0,20.0
24164,10,Footwear,shoetopia,2638.2167045910855,499.0,44.84758845312988
24165,11,Footwear,estatos,999.0,699.0,30.0
24166,12,Footwear,haute curry,2799.0,2239.0,20.0
24167,13,Footwear,inc.5,2390.0,1490.0,38.0
24168,14,Footwear,shoetopia,999.0,699.0,30.0
24169,15,Footwear,inc.5,2190.0,1490.0,32.0
24170,16,Footwear,estatos,1399.0,839.0,40.0
24171,17,Footwear,catwalk,2195.0,1097.0,50.0
24172,18,Footwear,puma,2638.2167045910855,3499.0,44.84758845312988
24173,19,Footwear,skechers,6999.0,4199.0,40.0
24174,20,Footwear,catwalk,2495.0,1247.0,50.0
