,Sales_id,Category,Brand,MRP,Selling price,Discount in %
28470,0,Fragrance,antonio banderas,500.0,250.0,50.0
28471,1,Fragrance,united colors of benetton,2100.0,1470.0,30.0
28472,2,Fragrance,dolce & gabbana,2638.2167045910855,7200.0,44.84758845312988
28473,3,Fragrance,guess,3990.0,3192.0,20.0
28474,4,Fragrance,paco rabanne,2638.2167045910855,6950.0,44.84758845312988
28475,5,Fragrance,carolina herrera,8000.0,6000.0,25.0
28476,6,Fragrance,guess,4900.0,3920.0,20.0
28477,7,Fragrance,skinn,2495.0,2120.0,15.0
28478,8,Fragrance,arcelia,2638.2167045910855,195.0,44.84758845312988
28479,9,Fragrance,dolce & gabbana,2638.2167045910855,3450.0,44.84758845312988
28480,10,Fragrance,paco rabanne,2200.0,1760.0,20.0
28481,11,Fragrance,gucci,2638.2167045910855,8350.0,44.84758845312988
28482,12,Fragrance,arcelia,2638.2167045910855,195.0,44.84758845312988
28483,13,Fragrance,burberry,2638.2167045910855,9075.0,44.84758845312988
28484,14,Fragrance,paco rabanne,3550.0,2662.0,25.0
28485,15,Fragrance,yves saint laurent,2638.2167045910855,5000.0,44.84758845312988
28486,16,Fragrance,paco rabanne,5300.0,3975.0,25.0
28487,17,Fragrance,jaguar,2638.2167045910855,3300.0,44.84758845312988
28488,18,Fragrance,burberry,2638.2167045910855,5300.0,44.84758845312988
28489,19,Fragrance,jean paul gaultier,7600.0,6460.0,15.0
28490,20,Fragrance,versace,2638.2167045910855,5050.0,44.84758845312988
28491,21,Fragrance,paco rabanne,6100.0,5185.0,15.0
28492,22,Fragrance,vastranand,2638.2167045910855,1925.3425560842963,44.84758845312988
28493,23,Fragrance,elie saab,7650.0,6885.0,10.0
28494,24,Fragrance,calvin klein,2638.2167045910855,3600.0,44.84758845312988
28495,25,Fragrance,arcelia,2638.2167045910855,295.0,44.84758845312988
28496,0,Fragrance,calvin klein,2638.2167045910855,3200.0,44.84758845312988
28497,1,Fragrance,hugo boss,2638.2167045910855,8650.0,44.84758845312988
28498,2,Fragrance,issey miyake,2638.2167045910855,990.0,44.84758845312988
28499,3,Fragrance,burberry,2638.2167045910855,4850.0,44.84758845312988
28500,4,Fragrance,paco rabanne,1900.0,1425.0,25.0
28501,5,Fragrance,burberry,2638.2167045910855,7800.0,44.84758845312988
28502,6,Fragrance,ajmal,2638.2167045910855,399.0,44.84758845312988
28503,7,Fragrance,arcelia,2638.2167045910855,195.0,44.84758845312988
28504,8,Fragrance,hugo boss,2638.2167045910855,7450.0,44.84758845312988
28505,9,Fragrance,thierry mugler,3900.0,3510.0,10.0
28506,10,Fragrance,skinn,2295.0,1950.0,15.0
28507,11,Fragrance,dolce & gabbana,2638.2167045910855,8580.0,44.84758845312988
28508,12,Fragrance,antonio banderas,2300.0,1150.0,50.0
28509,13,Fragrance,carolina herrera,5200.0,3900.0,25.0
28510,14,Fragrance,yves saint laurent,2638.2167045910855,5600.0,44.84758845312988
28511,15,Fragrance,clinique,2638.2167045910855,8750.0,44.84758845312988
28512,16,Fragrance,jean paul gaultier,7400.0,5550.0,25.0
28513,17,Fragrance,davidoff,2638.2167045910855,4900.0,44.84758845312988
28514,18,Fragrance,mercedes benz,995.0,895.0,10.0
28515,19,Fragrance,nina ricci,3575.0,2681.0,25.0
28516,20,Fragrance,versace,2638.2167045910855,2650.0,44.84758845312988
28517,21,Fragrance,versace,2638.2167045910855,3000.0,44.84758845312988
28519,23,Fragrance,carolina herrera,5800.0,4930.0,15.0
28520,24,Fragrance,elie saab,5900.0,5310.0,10.0
28521,25,Fragrance,calvin klein,2638.2167045910855,4700.0,44.84758845312988
28522,0,Fragrance,united colors of benetton,2638.2167045910855,420.0,44.84758845312988
28523,1,Fragrance,nina ricci,5300.0,3710.0,30.0
28524,2,Fragrance,yves saint laurent,2638.2167045910855,7400.0,44.84758845312988
28525,3,Fragrance,carolina herrera,7600.0,6840.0,10.0
28526,4,Fragrance,ajmal,2638.2167045910855,299.0,44.84758845312988
28527,5,Fragrance,thierry mugler,7500.0,6750.0,10.0
28528,6,Fragrance,guess,4900.0,3920.0,20.0
28529,7,Fragrance,davidoff,2638.2167045910855,4900.0,44.84758845312988
28530,8,Fragrance,antonio banderas,595.0,535.0,10.0
28531,9,Fragrance,davidoff,2638.2167045910855,4750.0,44.84758845312988
28532,10,Fragrance,nike,2638.2167045910855,798.0,44.84758845312988
28533,11,Fragrance,yves saint laurent,2638.2167045910855,6200.0,44.84758845312988
28534,12,Fragrance,arcelia,495.0,396.0,20.0
28535,13,Fragrance,burberry,2638.2167045910855,6800.0,44.84758845312988
28536,14,Fragrance,davidoff,2638.2167045910855,4600.0,44.84758845312988
28537,15,Fragrance,skinn,2638.2167045910855,2295.0,44.84758845312988
28538,16,Fragrance,hugo boss,2638.2167045910855,3000.0,44.84758845312988
28539,17,Fragrance,ajmal,1500.0,1200.0,20.0
28540,18,Fragrance,paco rabanne,6850.0,5137.0,25.0
28541,19,Fragrance,paco rabanne,6850.0,5822.0,15.0
28542,20,Fragrance,carolina herrera,1600.0,1360.0,15.0
28543,21,Fragrance,skinn,4190.0,3561.0,15.0
28545,23,Fragrance,antonio banderas,2300.0,1610.0,30.0
28546,24,Fragrance,arcelia,2638.2167045910855,295.0,44.84758845312988
28547,25,Fragrance,ajmal,2638.2167045910855,399.0,44.84758845312988
28548,0,Fragrance,ajmal,2638.2167045910855,399.0,44.84758845312988
28549,1,Fragrance,carolina herrera,2638.2167045910855,8350.0,44.84758845312988
28550,2,Fragrance,arcelia,2638.2167045910855,295.0,44.84758845312988
28551,3,Fragrance,police,2450.0,1960.0,20.0
28552,4,Fragrance,calvin klein,2638.2167045910855,2800.0,44.84758845312988
28553,5,Fragrance,yardley london,2638.2167045910855,649.0,44.84758845312988
