,Sales_id,Category,Brand,MRP,Selling price,Discount in %
10374,0,Indianwear,stop,999.0,499.0,50.0
10375,1,Indianwear,infuse,1199.0,479.0,60.0
10376,2,Indianwear,kashish,799.0,399.0,50.0
10377,3,Indianwear,juniper,2999.0,899.0,70.0
10378,4,Indianwear,kashish,3499.0,1749.0,50.0
10379,5,Indianwear,juniper,1599.0,479.0,70.0
10380,6,Indianwear,kashish,2499.0,1249.0,50.0
10381,7,Indianwear,kashish,2799.0,1399.0,50.0
10382,8,Indianwear,stop,1199.0,599.0,50.0
10383,9,Indianwear,infuse,1299.0,649.0,50.0
10384,10,Indianwear,kashish,1599.0,799.0,50.0
10385,11,Indianwear,juniper,2499.0,999.0,60.0
10386,12,Indianwear,infuse,699.0,349.0,50.0
10387,13,Indianwear,kashish,1599.0,799.0,50.0
10388,14,Indianwear,kashish,1599.0,799.0,50.0
10389,15,Indianwear,stop,1199.0,599.0,50.0
10390,16,Indianwear,infuse,1099.0,549.0,50.0
10391,17,Indianwear,sanaa,1599.0,799.0,50.0
10392,18,Indianwear,infuse,699.0,349.0,50.0
10393,19,Indianwear,kashish,1599.0,799.0,50.0
10394,20,Indianwear,stop,1499.0,749.0,50.0
10395,21,Indianwear,varanga,2999.0,749.0,75.0
10396,22,Indianwear,vastranand,2638.2167045910855,1925.3425560842963,44.84758845312988
10397,23,Indianwear,infuse,1999.0,599.0,70.0
10398,24,Indianwear,stop,1199.0,599.0,50.0
10399,25,Indianwear,kashish,2799.0,1399.0,50.0
10400,0,Indianwear,myshka,2999.0,749.0,75.0
10401,1,Indianwear,ziyaa,1982.0,792.0,60.0
10402,2,Indianwear,stop,1099.0,549.0,50.0
10403,3,Indianwear,stop,1499.0,749.0,50.0
10404,4,Indianwear,kashish,799.0,399.0,50.0
10405,5,Indianwear,infuse,1299.0,649.0,50.0
10406,6,Indianwear,stop,1199.0,599.0,50.0
10407,7,Indianwear,infuse,1099.0,549.0,50.0
10408,8,Indianwear,haute curry,999.0,499.0,50.0
10409,9,Indianwear,myshka,4299.0,644.0,85.0
10410,10,Indianwear,infuse,1499.0,749.0,50.0
10411,11,Indianwear,kashish,2499.0,1249.0,50.0
10412,12,Indianwear,stop,1499.0,749.0,50.0
10413,13,Indianwear,stop,1199.0,599.0,50.0
10414,14,Indianwear,stop,1199.0,599.0,50.0
10415,15,Indianwear,stop,1199.0,599.0,50.0
10416,16,Indianwear,juniper,1299.0,584.0,55.0
10417,17,Indianwear,juniper,2499.0,999.0,60.0
10418,18,Indianwear,kashish,1599.0,799.0,50.0
10419,19,Indianwear,kashish,1599.0,799.0,50.0
10420,20,Indianwear,juniper,4299.0,2149.0,50.0
10421,21,Indianwear,ziyaa,2437.0,852.0,65.0
10423,23,Indianwear,juniper,4199.0,2099.0,50.0
10424,24,Indianwear,varanga,7999.0,2399.0,70.0
10425,25,Indianwear,myshka,3999.0,1399.0,65.0
10426,0,Indianwear,infuse,1199.0,479.0,60.0
10427,1,Indianwear,juniper,2999.0,899.0,70.0
10428,2,Indianwear,infuse,1299.0,649.0,50.0
