,Sales_id,Category,Brand,MRP,Selling price,Discount in %
28964,0,Jewellery,shaya by caratlane,1000.0,950.0,5.0
28965,1,Jewellery,ayesha,598.0,179.0,70.0
28966,2,Jewellery,ayesha,298.0,149.0,50.0
28967,3,Jewellery,ayesha,799.0,399.0,50.0
28968,4,Jewellery,e2o,999.0,599.0,40.0
28969,5,Jewellery,pretty women,2638.2167045910855,549.0,44.84758845312988
28970,6,Jewellery,fossil,3795.0,1518.0,60.0
28971,7,Jewellery,belleziya,2638.2167045910855,599.0,44.84758845312988
28972,8,Jewellery,ayesha,499.0,149.0,70.0
28973,9,Jewellery,shaya by caratlane,1800.0,1710.0,5.0
28974,10,Jewellery,e2o,899.0,584.0,35.0
28975,11,Jewellery,belleziya,2638.2167045910855,899.0,44.84758845312988
28976,12,Jewellery,life,399.0,279.0,30.0
28977,13,Jewellery,estelle,2638.2167045910855,2999.0,44.84758845312988
28978,14,Jewellery,shaya by caratlane,3300.0,2970.0,10.0
28979,15,Jewellery,ayesha,898.0,269.0,70.0
28980,16,Jewellery,shaya by caratlane,1300.0,1235.0,5.0
28981,17,Jewellery,jewelz,749.0,262.0,65.0
28982,18,Jewellery,jewelz,749.0,262.0,65.0
28983,19,Jewellery,jewelz,1099.0,384.0,65.0
28984,20,Jewellery,belleziya,2638.2167045910855,749.0,44.84758845312988
28985,21,Jewellery,jewelz,769.0,269.0,65.0
28986,22,Jewellery,vastranand,2638.2167045910855,1925.3425560842963,44.84758845312988
28987,23,Jewellery,e2o,999.0,599.0,40.0
28988,24,Jewellery,madame,799.0,439.0,45.0
28989,25,Jewellery,belleziya,2638.2167045910855,449.0,44.84758845312988
28990,0,Jewellery,pretty women,2638.2167045910855,449.0,44.84758845312988
28991,1,Jewellery,shaya by caratlane,5400.0,4320.0,20.0
28992,2,Jewellery,shaya by caratlane,2638.2167045910855,1200.0,44.84758845312988
28993,3,Jewellery,jewelz,999.0,349.0,65.0
28994,4,Jewellery,fossil,2995.0,1198.0,60.0
28995,5,Jewellery,ayesha,198.0,99.0,50.0
28996,6,Jewellery,ayesha,898.0,269.0,70.0
28997,7,Jewellery,emporio armani,7995.0,3198.0,60.0
28998,8,Jewellery,jewelz,1099.0,384.0,65.0
28999,9,Jewellery,shaya by caratlane,1050.0,997.0,5.0
29000,10,Jewellery,ayesha,998.0,499.0,50.0
29001,11,Jewellery,michael kors,10995.0,4398.0,60.0
29002,12,Jewellery,jewelz,1099.0,384.0,65.0
29003,13,Jewellery,fossil,4195.0,1678.0,60.0
29004,14,Jewellery,clara,1999.0,1899.0,5.0
29005,15,Jewellery,estelle,2638.2167045910855,299.0,44.84758845312988
29006,16,Jewellery,shaya by caratlane,950.0,902.0,5.0
29007,17,Jewellery,ayesha,698.0,349.0,50.0
29008,18,Jewellery,ayesha,798.0,399.0,50.0
29009,19,Jewellery,jewelz,1739.0,608.0,65.0
29010,20,Jewellery,estelle,2638.2167045910855,1199.0,44.84758845312988
29011,21,Jewellery,ayesha,499.0,149.0,70.0
29013,23,Jewellery,shaya by caratlane,2638.2167045910855,1700.0,44.84758845312988
29014,24,Jewellery,michael kors,12995.0,5198.0,60.0
29015,25,Jewellery,belleziya,2638.2167045910855,399.0,44.84758845312988
29016,0,Jewellery,shaya by caratlane,1550.0,1472.0,5.0
29017,1,Jewellery,ayesha,299.0,149.0,50.0
29018,2,Jewellery,emporio armani,9495.0,3798.0,60.0
29019,3,Jewellery,ayesha,699.0,349.0,50.0
29020,4,Jewellery,giva,2599.0,2469.0,5.0
29021,5,Jewellery,shaya by caratlane,1200.0,1140.0,5.0
29022,6,Jewellery,estelle,2638.2167045910855,349.0,44.84758845312988
29023,7,Jewellery,fossil,3495.0,1398.0,60.0
29024,8,Jewellery,ayesha,299.0,149.0,50.0
29025,9,Jewellery,shaze,2638.2167045910855,3700.0,44.84758845312988
29026,10,Jewellery,ayesha,399.0,199.0,50.0
29027,11,Jewellery,belleziya,2638.2167045910855,599.0,44.84758845312988
29028,12,Jewellery,shaya by caratlane,1700.0,1530.0,10.0
29029,13,Jewellery,clara,1999.0,1899.0,5.0
29030,14,Jewellery,belleziya,2638.2167045910855,799.0,44.84758845312988
29031,15,Jewellery,belleziya,2638.2167045910855,399.0,44.84758845312988
29032,16,Jewellery,shaya by caratlane,900.0,855.0,5.0
29033,17,Jewellery,ayesha,1198.0,359.0,70.0
29034,18,Jewellery,ayesha,898.0,449.0,50.0
29035,19,Jewellery,madame,899.0,494.0,45.0
29036,20,Jewellery,jewelz,749.0,262.0,65.0
29037,21,Jewellery,pretty women,2638.2167045910855,599.0,44.84758845312988
29039,23,Jewellery,ayesha,598.0,299.0,50.0
29040,24,Jewellery,ayesha,499.0,249.0,50.0
29041,25,Jewellery,ayesha,298.0,89.0,70.0
29042,0,Jewellery,ayesha,798.0,239.0,70.0
29043,1,Jewellery,jewelz,769.0,269.0,65.0
29044,2,Jewellery,giva,4699.0,4229.0,10.0
29045,3,Jewellery,ayesha,499.0,249.0,50.0
29046,4,Jewellery,fossil,2495.0,998.0,60.0
29047,5,Jewellery,estelle,2638.2167045910855,499.0,44.84758845312988
29048,6,Jewellery,ayesha,399.0,199.0,50.0
29049,7,Jewellery,ayesha,298.0,149.0,50.0
29050,8,Jewellery,swarovski,10900.0,7630.0,30.0
29051,9,Jewellery,ayesha,799.0,399.0,50.0
29052,10,Jewellery,jewelz,1599.0,559.0,65.0
