,Sales_id,Category,Brand,MRP,Selling price,Discount in %
20748,0,Lingerie&Nightwear,insense,799.0,399.0,50.0
20749,1,Lingerie&Nightwear,insense,599.0,299.0,50.0
20750,2,Lingerie&Nightwear,insense,1499.0,749.0,50.0
20751,3,Lingerie&Nightwear,insense,599.0,299.0,50.0
20752,4,Lingerie&Nightwear,insense,799.0,399.0,50.0
20753,5,Lingerie&Nightwear,insense,799.0,399.0,50.0
20754,6,Lingerie&Nightwear,insense,1499.0,749.0,50.0
20755,7,Lingerie&Nightwear,insense,399.0,199.0,50.0
20756,8,Lingerie&Nightwear,insense,1199.0,599.0,50.0
20757,9,Lingerie&Nightwear,enamor,949.0,474.0,50.0
20758,10,Lingerie&Nightwear,clovia,285.0,114.0,60.0
20759,11,Lingerie&Nightwear,insense,1199.0,599.0,50.0
20760,12,Lingerie&Nightwear,insense,1499.0,749.0,50.0
20761,13,Lingerie&Nightwear,insense,1199.0,599.0,50.0
20762,14,Lingerie&Nightwear,insense,1499.0,749.0,50.0
20763,15,Lingerie&Nightwear,insense,399.0,199.0,50.0
20764,16,Lingerie&Nightwear,insense,499.0,249.0,50.0
20765,17,Lingerie&Nightwear,triumph,858.0,429.0,50.0
20766,18,Lingerie&Nightwear,insense,1499.0,749.0,50.0
20767,19,Lingerie&Nightwear,myshka,2499.0,749.0,70.0
20768,20,Lingerie&Nightwear,insense,1499.0,749.0,50.0
20769,21,Lingerie&Nightwear,insense,599.0,299.0,50.0
20770,22,Lingerie&Nightwear,vastranand,2638.2167045910855,1925.3425560842963,44.84758845312988
20771,23,Lingerie&Nightwear,insense,1499.0,749.0,50.0
20772,24,Lingerie&Nightwear,insense,399.0,199.0,50.0
20773,25,Lingerie&Nightwear,enamor,949.0,474.0,50.0
20774,0,Lingerie&Nightwear,insense,1199.0,599.0,50.0
20775,1,Lingerie&Nightwear,clovia,342.0,137.0,60.0
20776,2,Lingerie&Nightwear,sweet dreams,1799.0,1259.0,30.0
20777,3,Lingerie&Nightwear,insense,799.0,399.0,50.0
20778,4,Lingerie&Nightwear,insense,499.0,249.0,50.0
20779,5,Lingerie&Nightwear,enamor,799.0,399.0,50.0
20780,6,Lingerie&Nightwear,insense,799.0,399.0,50.0
20781,7,Lingerie&Nightwear,enamor,699.0,349.0,50.0
20782,8,Lingerie&Nightwear,insense,1199.0,599.0,50.0
20783,9,Lingerie&Nightwear,insense,499.0,249.0,50.0
20784,10,Lingerie&Nightwear,insense,1499.0,749.0,50.0
20785,11,Lingerie&Nightwear,insense,499.0,249.0,50.0
20786,12,Lingerie&Nightwear,enamor,399.0,199.0,50.0
20787,13,Lingerie&Nightwear,insense,999.0,499.0,50.0
20788,14,Lingerie&Nightwear,enamor,949.0,474.0,50.0
20789,15,Lingerie&Nightwear,enamor,699.0,349.0,50.0
20790,16,Lingerie&Nightwear,insense,499.0,249.0,50.0
20791,17,Lingerie&Nightwear,insense,799.0,399.0,50.0
20792,18,Lingerie&Nightwear,insense,499.0,249.0,50.0
20793,19,Lingerie&Nightwear,insense,799.0,399.0,50.0
20794,20,Lingerie&Nightwear,insense,499.0,249.0,50.0
20795,21,Lingerie&Nightwear,insense,1299.0,649.0,50.0
20797,23,Lingerie&Nightwear,insense,399.0,199.0,50.0
20798,24,Lingerie&Nightwear,enamor,1199.0,599.0,50.0
20799,25,Lingerie&Nightwear,triumph,1499.0,749.0,50.0
20800,0,Lingerie&Nightwear,insense,799.0,399.0,50.0
20801,1,Lingerie&Nightwear,enamor,1099.0,549.0,50.0
20802,2,Lingerie&Nightwear,enamor,949.0,474.0,50.0
20803,3,Lingerie&Nightwear,insense,499.0,249.0,50.0
20804,4,Lingerie&Nightwear,insense,599.0,299.0,50.0
20805,5,Lingerie&Nightwear,enamor,699.0,349.0,50.0
20806,6,Lingerie&Nightwear,insense,1199.0,599.0,50.0
20807,7,Lingerie&Nightwear,insense,1299.0,649.0,50.0
20808,8,Lingerie&Nightwear,insense,399.0,199.0,50.0
20809,9,Lingerie&Nightwear,triumph,999.0,499.0,50.0
20810,10,Lingerie&Nightwear,enamor,399.0,199.0,50.0
20811,11,Lingerie&Nightwear,insense,999.0,499.0,50.0
20812,12,Lingerie&Nightwear,enamor,799.0,399.0,50.0
20813,13,Lingerie&Nightwear,enamor,699.0,349.0,50.0
20814,14,Lingerie&Nightwear,insense,799.0,399.0,50.0
20815,15,Lingerie&Nightwear,insense,1299.0,649.0,50.0
20816,16,Lingerie&Nightwear,enamor,749.0,374.0,50.0
20817,17,Lingerie&Nightwear,insense,1299.0,649.0,50.0
20818,18,Lingerie&Nightwear,insense,999.0,499.0,50.0
20819,19,Lingerie&Nightwear,enamor,799.0,399.0,50.0
20820,20,Lingerie&Nightwear,amante,1295.0,647.0,50.0
20821,21,Lingerie&Nightwear,insense,899.0,449.0,50.0
20823,23,Lingerie&Nightwear,insense,499.0,249.0,50.0
20824,24,Lingerie&Nightwear,clovia,599.0,239.0,60.0
20825,25,Lingerie&Nightwear,insense,499.0,249.0,50.0
20826,0,Lingerie&Nightwear,enamor,699.0,349.0,50.0
20827,1,Lingerie&Nightwear,myshka,3999.0,799.0,80.0
20828,2,Lingerie&Nightwear,enamor,799.0,399.0,50.0
20829,3,Lingerie&Nightwear,enamor,1399.0,699.0,50.0
20830,4,Lingerie&Nightwear,sweet dreams,1799.0,1259.0,30.0
20831,5,Lingerie&Nightwear,insense,599.0,299.0,50.0
20832,6,Lingerie&Nightwear,enamor,949.0,474.0,50.0
20833,7,Lingerie&Nightwear,insense,799.0,399.0,50.0
20834,8,Lingerie&Nightwear,insense,499.0,249.0,50.0
20835,9,Lingerie&Nightwear,insense,499.0,249.0,50.0
20836,10,Lingerie&Nightwear,enamor,799.0,399.0,50.0
20837,11,Lingerie&Nightwear,enamor,399.0,199.0,50.0
20838,12,Lingerie&Nightwear,insense,499.0,249.0,50.0
20839,13,Lingerie&Nightwear,insense,1499.0,749.0,50.0
20840,14,Lingerie&Nightwear,enamor,1199.0,599.0,50.0
20841,15,Lingerie&Nightwear,enamor,409.0,286.0,30.0
20842,16,Lingerie&Nightwear,enamor,949.0,474.0,50.0
20843,17,Lingerie&Nightwear,insense,499.0,249.0,50.0
20844,18,Lingerie&Nightwear,insense,499.0,249.0,50.0
20845,19,Lingerie&Nightwear,enamor,399.0,199.0,50.0
20846,20,Lingerie&Nightwear,triumph,1199.0,599.0,50.0
20847,21,Lingerie&Nightwear,enamor,699.0,349.0,50.0
20849,23,Lingerie&Nightwear,enamor,399.0,199.0,50.0
20850,24,Lingerie&Nightwear,insense,599.0,299.0,50.0
20851,25,Lingerie&Nightwear,enamor,949.0,474.0,50.0
20852,0,Lingerie&Nightwear,insense,1299.0,649.0,50.0
20853,1,Lingerie&Nightwear,enamor,949.0,474.0,50.0
20854,2,Lingerie&Nightwear,enamor,699.0,349.0,50.0
20855,3,Lingerie&Nightwear,insense,799.0,399.0,50.0
20856,4,Lingerie&Nightwear,myshka,2499.0,749.0,70.0
20857,5,Lingerie&Nightwear,insense,499.0,249.0,50.0
20858,6,Lingerie&Nightwear,insense,599.0,299.0,50.0
20859,7,Lingerie&Nightwear,insense,1299.0,649.0,50.0
20860,8,Lingerie&Nightwear,enamor,949.0,474.0,50.0
20861,9,Lingerie&Nightwear,insense,499.0,249.0,50.0
20862,10,Lingerie&Nightwear,madame,1199.0,719.0,40.0
20863,11,Lingerie&Nightwear,enamor,1099.0,549.0,50.0
20864,12,Lingerie&Nightwear,enamor,1099.0,549.0,50.0
20865,13,Lingerie&Nightwear,enamor,949.0,474.0,50.0
20866,14,Lingerie&Nightwear,insense,399.0,199.0,50.0
20867,15,Lingerie&Nightwear,enamor,799.0,399.0,50.0
20868,16,Lingerie&Nightwear,insense,899.0,449.0,50.0
20869,17,Lingerie&Nightwear,insense,1299.0,649.0,50.0
20870,18,Lingerie&Nightwear,insense,999.0,499.0,50.0
20871,19,Lingerie&Nightwear,insense,399.0,199.0,50.0
20872,20,Lingerie&Nightwear,insense,399.0,119.0,70.0
20873,21,Lingerie&Nightwear,enamor,1049.0,524.0,50.0
20875,23,Lingerie&Nightwear,insense,399.0,199.0,50.0
20876,24,Lingerie&Nightwear,insense,1199.0,599.0,50.0
20877,25,Lingerie&Nightwear,sweet dreams,1899.0,1329.0,30.0
20878,0,Lingerie&Nightwear,insense,1499.0,749.0,50.0
20879,1,Lingerie&Nightwear,enamor,1049.0,524.0,50.0
20880,2,Lingerie&Nightwear,enamor,699.0,349.0,50.0
20881,3,Lingerie&Nightwear,insense,999.0,499.0,50.0
20882,4,Lingerie&Nightwear,madame,1799.0,1079.0,40.0
20883,5,Lingerie&Nightwear,insense,499.0,249.0,50.0
20884,6,Lingerie&Nightwear,insense,1299.0,649.0,50.0
20885,7,Lingerie&Nightwear,insense,599.0,299.0,50.0
20886,8,Lingerie&Nightwear,triumph,1699.0,849.0,50.0
20887,9,Lingerie&Nightwear,enamor,799.0,399.0,50.0
20888,10,Lingerie&Nightwear,insense,599.0,299.0,50.0
20889,11,Lingerie&Nightwear,shaya by caratlane,2638.2167045910855,1550.0,44.84758845312988
20890,12,Lingerie&Nightwear,triumph,2638.2167045910855,1599.0,44.84758845312988
20891,13,Lingerie&Nightwear,insense,499.0,249.0,50.0
20892,14,Lingerie&Nightwear,enamor,599.0,299.0,50.0
20893,15,Lingerie&Nightwear,enamor,779.0,389.0,50.0
20894,16,Lingerie&Nightwear,enamor,849.0,424.0,50.0
20895,17,Lingerie&Nightwear,insense,399.0,199.0,50.0
