,Sales_id,Category,Brand,MRP,Selling price,Discount in %
26676,0,Watches,titan,12495.0,6247.0,50.0
26677,1,Watches,fastrack wearables,5995.0,3995.0,33.0
26678,2,Watches,titan,12995.0,6497.0,50.0
26679,3,Watches,fastrack wearables,6495.0,4495.0,31.0
26680,4,Watches,titan,4795.0,2877.0,40.0
26681,5,Watches,armani exchange,11995.0,7197.0,40.0
26682,6,Watches,titan,2638.2167045910855,4395.0,44.84758845312988
26683,7,Watches,fossil,2638.2167045910855,6995.0,44.84758845312988
26684,8,Watches,michael kors,2638.2167045910855,25995.0,44.84758845312988
26685,9,Watches,casio,2695.0,2425.0,10.0
26686,10,Watches,fastrack,2638.2167045910855,2395.0,44.84758845312988
26687,11,Watches,giordano,8590.0,2577.0,70.0
26688,12,Watches,titan,2638.2167045910855,2795.0,44.84758845312988
26689,13,Watches,titan,2638.2167045910855,5995.0,44.84758845312988
26690,14,Watches,fossil,2638.2167045910855,7495.0,44.84758845312988
26691,15,Watches,timex,5995.0,4796.0,20.0
26692,16,Watches,fossil,11995.0,8396.0,30.0
26693,17,Watches,guess,2638.2167045910855,14695.0,44.84758845312988
26694,18,Watches,casio,4895.0,4405.0,10.0
26695,19,Watches,titan,12495.0,6247.0,50.0
26696,20,Watches,fastrack,2638.2167045910855,3395.0,44.84758845312988
26697,21,Watches,michael kors,18495.0,12946.0,30.0
26698,22,Watches,vastranand,2638.2167045910855,1925.3425560842963,44.84758845312988
26699,23,Watches,casio,2638.2167045910855,2695.0,44.84758845312988
26700,24,Watches,fastrack,2638.2167045910855,4095.0,44.84758845312988
26701,25,Watches,anne klein,9499.0,5699.0,40.0
26702,0,Watches,fossil,13495.0,9446.0,30.0
26703,1,Watches,titan,2638.2167045910855,11395.0,44.84758845312988
26704,2,Watches,titan,2638.2167045910855,17495.0,44.84758845312988
26705,3,Watches,titan,10495.0,5247.0,50.0
26706,4,Watches,fastrack,2638.2167045910855,4695.0,44.84758845312988
26707,5,Watches,giordano,7850.0,2355.0,70.0
26708,6,Watches,casio,3795.0,2656.0,30.0
26709,7,Watches,titan,7795.0,3897.0,50.0
26710,8,Watches,giordano,9590.0,2877.0,70.0
26711,9,Watches,titan,2638.2167045910855,5845.0,44.84758845312988
26712,10,Watches,casio,5995.0,5395.0,10.0
26713,11,Watches,timex,3695.0,2956.0,20.0
26714,12,Watches,giordano,8500.0,2550.0,70.0
26715,13,Watches,giordano,9590.0,2877.0,70.0
26716,14,Watches,fastrack,2638.2167045910855,1995.0,44.84758845312988
26717,15,Watches,anne klein,10750.0,7525.0,30.0
26718,16,Watches,fastrack wearables,7995.0,5995.0,25.0
26719,17,Watches,titan,12495.0,6247.0,50.0
26720,18,Watches,michael kors,2638.2167045910855,13495.0,44.84758845312988
26721,19,Watches,michael kors,18495.0,12946.0,30.0
