,Sales_id,Category,Brand,MRP,Selling price,Discount in %
0,0,Westernwear,life,1699.0,849.0,50.0
1,1,Westernwear,only,3499.0,2449.0,30.0
2,2,Westernwear,fratini,1199.0,599.0,50.0
3,3,Westernwear,zink london,2299.0,1379.0,40.0
4,4,Westernwear,life,1699.0,849.0,50.0
5,5,Westernwear,kraus,1795.0,1615.0,10.0
6,6,Westernwear,life,1299.0,649.0,50.0
7,7,Westernwear,fratini,1299.0,649.0,50.0
8,8,Westernwear,rare,2099.0,839.0,60.0
9,9,Westernwear,rare,1499.0,599.0,60.0
10,10,Westernwear,life,1499.0,749.0,50.0
11,11,Westernwear,life,999.0,499.0,50.0
12,12,Westernwear,life,1499.0,749.0,50.0
13,13,Westernwear,life,599.0,299.0,50.0
14,14,Westernwear,life,999.0,499.0,50.0
15,15,Westernwear,life,1199.0,599.0,50.0
16,16,Westernwear,life,599.0,299.0,50.0
17,17,Westernwear,life,1299.0,649.0,50.0
18,18,Westernwear,van heusen,1999.0,799.0,60.0
19,19,Westernwear,life,1999.0,999.0,50.0
20,20,Westernwear,fratini,1499.0,749.0,50.0
21,21,Westernwear,life,1299.0,649.0,50.0
22,22,Westernwear,vastranand,2638.2167045910855,1925.3425560842963,44.84758845312988
23,23,Westernwear,stop,799.0,399.0,50.0
24,24,Westernwear,life,1999.0,999.0,50.0
25,25,Westernwear,zink london,2799.0,1679.0,40.0
26,0,Westernwear,life,1199.0,599.0,50.0
27,1,Westernwear,life,999.0,499.0,50.0
28,2,Westernwear,zink z,2638.2167045910855,1299.0,44.84758845312988
29,3,Westernwear,stop,899.0,449.0,50.0
30,4,Westernwear,life,999.0,499.0,50.0
31,5,Westernwear,life,1199.0,599.0,50.0
32,6,Westernwear,life,1699.0,849.0,50.0
33,7,Westernwear,life,699.0,349.0,50.0
34,8,Westernwear,cover story,2890.0,1445.0,50.0
35,9,Westernwear,infuse,1999.0,999.0,50.0
36,10,Westernwear,fratini,2638.2167045910855,1799.0,44.84758845312988
37,11,Westernwear,allen solly,1299.0,1039.0,20.0
38,12,Westernwear,infuse,899.0,359.0,60.0
39,13,Westernwear,van heusen,1699.0,999.0,41.0
40,14,Westernwear,life,999.0,499.0,50.0
41,15,Westernwear,cover story,4490.0,3143.0,30.0
42,16,Westernwear,life,999.0,499.0,50.0
43,17,Westernwear,zink london,3299.0,1979.0,40.0
44,18,Westernwear,stop,999.0,499.0,50.0
45,19,Westernwear,fratini,1899.0,949.0,50.0
46,20,Westernwear,rare,1899.0,854.0,55.0
47,21,Westernwear,life,1299.0,649.0,50.0
49,23,Westernwear,altlife,999.0,499.0,50.0
50,24,Westernwear,stop,899.0,449.0,50.0
51,25,Westernwear,life,1999.0,999.0,50.0
52,0,Westernwear,rare,1499.0,674.0,55.0
53,1,Westernwear,zink london,1399.0,839.0,40.0
54,2,Westernwear,life,999.0,499.0,50.0
55,3,Westernwear,madame,2699.0,1619.0,40.0
56,4,Westernwear,zink london,2499.0,1499.0,40.0
57,5,Westernwear,rare,2099.0,944.0,55.0
58,6,Westernwear,fratini,1499.0,749.0,50.0
59,7,Westernwear,iti,1499.0,399.0,73.0
60,8,Westernwear,rare,1599.0,719.0,55.0
61,9,Westernwear,levis,2638.2167045910855,1199.0,44.84758845312988
62,10,Westernwear,cover story,2590.0,1813.0,30.0
63,11,Westernwear,zink london,2299.0,1149.0,50.0
64,12,Westernwear,and,2899.0,2319.0,20.0
65,13,Westernwear,van heusen,1999.0,799.0,60.0
66,14,Westernwear,life,699.0,349.0,50.0
67,15,Westernwear,life,899.0,449.0,50.0
68,16,Westernwear,faballey,2800.0,2240.0,20.0
69,17,Westernwear,levis,2638.2167045910855,3799.0,44.84758845312988
70,18,Westernwear,rare,2099.0,944.0,55.0
71,19,Westernwear,rare,1999.0,799.0,60.0
